Title,Doi,Publisher Name,Journal Title,License,Total Amount,Payment Year,Payment Date,Institution,Institution grid id
Ability to care for an ill loved one during the first COVID-19 lockdown: Mediators of informal caregivers’ stress in Europe,10.3389/fpsyt.2022.852712,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,3023.06,2023,2023-12-11,FA8B0BFE-769A-4C56-807A-34BE1C8ADF0B,grid.466216.1
Women involvement in the informal caregiving field: a perspective review,https://doi.org/10.3389/fpsyt.2023.1113587,Frontiers Media,Frontiers in Psychiatry,CC-BY 4.0,2035.22,2023,2023-12-12,F6FDEB48-CD8E-4A59-9CC1-51EFF04AC66F,grid.466216.1
Diesel Exhaust Particle (DEP)-induced glucose intolerance is driven by an intestinal innate immune response and NLRP3 activation in mice,10.1186/s12989-023-00536-8,BioMed Central,Particle and Fibre Toxicology,CC-BY 4.0,2643.361,2023,2023-08-07,19167a4c-f203-4a19-8e22-385dd5f33a09,NA
Lightning Nowcasting Using Solely Lightning Data,10.3390/atmos14121713,MDPI,Atmosphere,CC-BY 4.0,2067.84,2023,2023-12-27,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Transcriptomic analysis reveals mitochondrial pathways associated with distinct adolescent behavioral phenotypes and stress response,10.1038/s41398-023-02648-3,Springer Nature [academic journals on nature.com],Translational Psychiatry,CC-BY 4.0,3800.05,2023,2023-12-11,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Involuntary Career Changes: A Lonesome Social Experience.,10.3389/fpsyg.2022.899051,Frontiers Media,Frontiers in Psychology,CC-BY 4.0,3060.838,2022,2022-05-30,University of Lausanne,grid.9851.5
Subaqueous geomorphology and delta dynamics of Lake Brienz (Switzerland): implications for the sediment budget in the alpine realm,10.1186/s00015-021-00399-1,Birkhäuser Verlag,Swiss Journal of Geosciences,CC-BY 4.0,1427.6,2023,2023-12-11,ORG1032151,grid.8591.5
Distinct and additive effects of calorie restriction and rapamycin in aging skeletal muscle,https://doi.org/10.1038/s41467-022-29714-6,Nature Research,Nature Communications,CC-BY 4.0,5328.25,2022,2022-05-10,ORG45610,grid.6612.3
"Fast, multiplexable and efficient somatic gene deletions in adult mouse skeletal muscle fibers using AAV-CRISPR\/Cas9",10.1038/S41467-023-41769-7,Nature Research,Nature Communications,CC-BY 4.0,5711,2023,2023-11-06,ORG45610,grid.6612.3
Quaternionic hyperbolic lattices of minimal covolume,10.1017/fms.2022.43,Cambridge University Press,"Forum of Mathematics, Sigma",NA,1476.087,2022,2022-06-16,D3B86E4C-99B5-48B0-B99A-ABB73DE10979,NA
